threshold,precision,recall,f1,target_customers,target_rate,fn,fp,tn,tp
0.62,0.931071414910301,0.7585938230436002,0.8360295380388116,52286,0.418288,15492,3604,57222,48682
0.63,0.931824719532074,0.7571602206501076,0.8354611026573475,52145,0.41716,15584,3555,57271,48590
0.64,0.9330306469920545,0.7557266182566148,0.8350709839608104,51979,0.415832,15676,3481,57345,48498
0.65,0.9340886281170385,0.7541527721507152,0.8345317538323591,51812,0.414496,15777,3415,57411,48397
0.66,0.9349396656917623,0.7521737775423069,0.833657159140955,51629,0.413032,15904,3359,57467,48270
0.67,0.9362597129447506,0.7491507464082027,0.8323191052863932,51349,0.410792,16098,3273,57553,48076
0.68,0.9380477189405376,0.7455823230591828,0.8308141099660534,51007,0.408056,16327,3160,57666,47847
0.69,0.9397542764587367,0.7413594290522642,0.8288501742160279,50626,0.405008,16598,3050,57776,47576
0.7,0.9419016889738687,0.7369183781593792,0.8268958402545855,50208,0.401664,16883,2917,57909,47291
0.71,0.9443573352631367,0.7320410134945616,0.824754213483146,49746,0.397968,17196,2768,58058,46978
0.72,0.9463945136549933,0.7268364135007948,0.8222104706504495,49286,0.394288,17530,2642,58184,46644
0.73,0.9486460486726569,0.722223953626079,0.8200936026399838,48857,0.390856,17826,2509,58317,46348
0.74,0.9507252955863236,0.7179698943497367,0.8181148290526203,48463,0.387704,18099,2388,58438,46075
0.75,0.9522345266044753,0.7141833141147506,0.8162058679488892,48131,0.385048,18342,2299,58527,45832
0.76,0.9532872333758121,0.7110512045376632,0.8145411054881695,47867,0.382936,18543,2236,58590,45631
0.77,0.954495867075064,0.7089631314862717,0.8136087267525036,47666,0.381328,18677,2169,58657,45497
0.78,0.9552898581231845,0.7071711284944059,0.812714899713467,47506,0.380048,18792,2124,58702,45382
0.79,0.9557286718601558,0.7054258734066756,0.8117194574192449,47367,0.378936,18904,2097,58729,45270
0.8,0.9561652542372882,0.7032598871817247,0.8104404977822472,47200,0.3776,19043,2069,58757,45131
0.81,0.9566068237896708,0.7007822482625362,0.8089507671829187,47012,0.376096,19202,2040,58786,44972
0.82,0.95709154658571,0.6975878081466014,0.806990662292245,46774,0.374192,19407,2007,58819,44767
0.83,0.9575275424185585,0.6920715554585969,0.8034407590654594,46383,0.371064,19761,1970,58856,44413
0.84,0.9583105969660591,0.6841555770249634,0.7983525625289801,45815,0.36652,20269,1910,58916,43905
0.85,0.9598296885797721,0.6709415027892917,0.7897975842176221,44859,0.358872,21117,1802,59024,43057
0.86,0.9615615061990137,0.6502010159877832,0.7758069314294214,43394,0.347152,22448,1668,59158,41726
0.87,0.9648719314385319,0.6210459064418612,0.7556882821387941,41306,0.330448,24319,1451,59375,39855
0.88,0.9701496401387666,0.58392807055817,0.7290466926070039,38626,0.309008,26701,1153,59673,37473
0.89,0.9767908633459603,0.5384267771994888,0.6941977739382007,35374,0.282992,29621,821,60005,34553
0.9,0.9835878098534957,0.49588618443606447,0.6593527266699818,32354,0.258832,32351,531,60295,31823
0.91,0.9902212729032474,0.4623367719013931,0.630357882660378,29963,0.239704,34504,293,60533,29670
0.92,0.9940705915374359,0.4415027892916134,0.6114420130346584,28502,0.228016,35841,169,60657,28333
0.93,0.9966046595629402,0.4299404743354006,0.6007250242219053,27685,0.22148,36583,94,60732,27591
0.94,0.9980484571765226,0.42236731386542836,0.5935488109315464,27158,0.217264,37069,53,60773,27105
0.95,0.9992109119603202,0.4143734222582354,0.5858107438289623,26613,0.212904,37582,21,60805,26592
